,name,rating,genre,gross,release_year
5,The Lego Movie,PG,"Animation, Action, Adventure",257.76,2014
6,The Hobbit: The Battle of the Five Armies,PG-13,"Adventure, Fantasy",255.12,2014
7,Transformers: Age of Extinction,PG-13,"Action, Adventure, Sci-Fi",245.44,2014
8,Maleficent,PG,"Action, Adventure, Family",241.41,2014
9,X-Men: Days of Future Past,PG-13,"Action, Adventure, Sci-Fi",233.92,2014
10,Big Hero 6,PG,"Animation, Action, Adventure",222.53,2014
11,Dawn of the Planet of the Apes,PG-13,"Action, Adventure, Drama",208.55,2014
12,The Amazing Spider-Man 2,PG-13,"Action, Adventure, Sci-Fi",202.85,2014
13,Godzilla,PG-13,"Action, Adventure, Sci-Fi",200.68,2014
14,22 Jump Street,R,"Action, Comedy, Crime",191.72,2014
15,Teenage Mutant Ninja Turtles,PG-13,"Action, Adventure, Comedy",191.2,2014
16,Interstellar,PG-13,"Adventure, Drama, Sci-Fi",188.02,2014
17,How to Train Your Dragon 2,PG,"Animation, Action, Adventure",177.0,2014
18,Gone Girl,R,"Drama, Mystery, Thriller",167.77,2014
19,Divergent,PG-13,"Action, Adventure, Mystery",150.95,2014
20,Neighbors,R,Comedy,150.16,2014
21,Ride Along,PG-13,"Action, Comedy, Crime",134.94,2014
22,Rio 2,G,"Animation, Adventure, Comedy",131.54,2014
23,Kingsman: The Secret Service,R,"Action, Adventure, Comedy",128.26,2014
24,Into the Woods,PG,"Adventure, Comedy, Drama",128.0,2014
25,Lucy,R,"Action, Sci-Fi, Thriller",126.66,2014
26,The Fault in Our Stars,PG-13,"Drama, Romance",124.87,2014
27,Unbroken,PG-13,"Biography, Drama, Sport",115.64,2014
28,Night at the Museum: Secret of the Tomb,PG,"Adventure, Comedy, Family",113.75,2014
29,Mr. Peabody & Sherman,PG,"Animation, Adventure, Comedy",111.51,2014
30,300: Rise of an Empire,R,Action,106.58,2014
31,The Maze Runner,PG-13,"Action, Mystery, Sci-Fi",102.43,2014
32,The Equalizer,R,"Action, Crime, Thriller",101.53,2014
33,Noah,PG-13,"Action, Adventure, Drama",101.2,2014
34,Edge of Tomorrow,PG-13,"Action, Sci-Fi",100.21,2014
35,Non-Stop,PG-13,"Action, Mystery, Thriller",92.17,2014
36,Heaven Is for Real,PG,"Biography, Drama, Family",91.44,2014
37,The Imitation Game,PG-13,"Biography, Drama, Thriller",91.13,2014
38,Taken 3,PG-13,"Action, Thriller",89.26,2014
39,Dumb and Dumber To,PG-13,Comedy,86.21,2014
40,Annie,PG,"Comedy, Drama, Family",85.91,2014
41,Fury,R,"Action, Drama, War",85.82,2014
42,Tammy,R,"Comedy, Romance",84.53,2014
43,Annabelle,R,"Horror, Mystery, Thriller",84.27,2014
44,The Other Woman,PG-13,"Comedy, Romance",83.91,2014
45,Penguins of Madagascar,PG,"Animation, Adventure, Comedy",83.35,2014
46,Let's Be Cops,R,"Action, Comedy, Crime",82.39,2014
47,The Monuments Men,PG-13,"Comedy, Drama, History",78.03,2014
48,Paddington,PG,"Adventure, Comedy, Family",76.27,2014
49,Hercules,PG-13,"Action, Adventure, Fantasy",72.69,2014
50,The Purge: Anarchy,R,"Action, Horror, Sci-Fi",71.96,2014
